Country Name,Country Code,Region,Income Group
Nigeria,NGA,Sub-Saharan Africa,1
North America,NAC,,
North Macedonia,MKD,Europe & Central Asia,2
Northern Mariana Islands,MNP,East Asia & Pacific,3
Norway,NOR,Europe & Central Asia,3
OECD members,OED,,
Oman,OMN,Middle East & North Africa,3
Other small states,OSS,,
Pacific island small states,PSS,,
Pakistan,PAK,South Asia,1
Palau,PLW,East Asia & Pacific,2
Panama,PAN,Latin America & Caribbean,3
Papua New Guinea,PNG,East Asia & Pacific,1
Paraguay,PRY,Latin America & Caribbean,2
Peru,PER,Latin America & Caribbean,2
Philippines,PHL,East Asia & Pacific,1
Poland,POL,Europe & Central Asia,3
Portugal,PRT,Europe & Central Asia,3
Post-demographic dividend,PST,,
Pre-demographic dividend,PRE,,
Puerto Rico,PRI,Latin America & Caribbean,3
Qatar,QAT,Middle East & North Africa,3
Romania,ROU,Europe & Central Asia,3
Russian Federation,RUS,Europe & Central Asia,2
Rwanda,RWA,Sub-Saharan Africa,0
Samoa,WSM,East Asia & Pacific,1
San Marino,SMR,Europe & Central Asia,3
São Tomé and Principe,STP,Sub-Saharan Africa,1
Saudi Arabia,SAU,Middle East & North Africa,3
Senegal,SEN,Sub-Saharan Africa,1
Serbia,SRB,Europe & Central Asia,2
Seychelles,SYC,Sub-Saharan Africa,3
Sierra Leone,SLE,Sub-Saharan Africa,0
Singapore,SGP,East Asia & Pacific,3
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,3
Slovak Republic,SVK,Europe & Central Asia,3
Slovenia,SVN,Europe & Central Asia,3
Small states,SST,,
Solomon Islands,SLB,East Asia & Pacific,1
Somalia,SOM,Sub-Saharan Africa,0
South Africa,ZAF,Sub-Saharan Africa,2
South Asia,SAS,,
South Asia (IDA & IBRD),TSA,,
South Sudan,SSD,Sub-Saharan Africa,0
Spain,ESP,Europe & Central Asia,3
Sri Lanka,LKA,South Asia,1
St. Kitts and Nevis,KNA,Latin America & Caribbean,3
St. Lucia,LCA,Latin America & Caribbean,2
St. Martin (French part),MAF,Latin America & Caribbean,3
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,2
Sub-Saharan Africa,SSF,,
Sub-Saharan Africa (excluding 3),SSA,,
Sub-Saharan Africa (IDA & IBRD),TSS,,
Sudan,SDN,Sub-Saharan Africa,0
Suriname,SUR,Latin America & Caribbean,2
Sweden,SWE,Europe & Central Asia,3
Switzerland,CHE,Europe & Central Asia,3
Syrian Arab Republic,SYR,Middle East & North Africa,0
Tajikistan,TJK,Europe & Central Asia,1
Tanzania,TZA,Sub-Saharan Africa,1
Thailand,THA,East Asia & Pacific,2
Timor-Leste,TLS,East Asia & Pacific,1
Togo,TGO,Sub-Saharan Africa,0
Tonga,TON,East Asia & Pacific,2
Trinidad and Tobago,TTO,Latin America & Caribbean,3
Tunisia,TUN,Middle East & North Africa,1
Türkiye,TUR,Europe & Central Asia,2
Turkmenistan,TKM,Europe & Central Asia,2
Turks and Caicos Islands,TCA,Latin America & Caribbean,3
Tuvalu,TUV,East Asia & Pacific,2
Uganda,UGA,Sub-Saharan Africa,0
Ukraine,UKR,Europe & Central Asia,1
United Arab Emirates,ARE,Middle East & North Africa,3
United Kingdom,GBR,Europe & Central Asia,3
United States,USA,North America,3
2,UMC,,
Uruguay,URY,Latin America & Caribbean,3
Uzbekistan,UZB,Europe & Central Asia,1
Vanuatu,VUT,East Asia & Pacific,1
"Venezuela, RB",VEN,Latin America & Caribbean,
Viet Nam,VNM,East Asia & Pacific,1
Virgin Islands (U.S.),VIR,Latin America & Caribbean,3
West Bank and Gaza,PSE,Middle East & North Africa,2
World,WLD,,
"Yemen, Rep.",YEM,Middle East & North Africa,0
Zambia,ZMB,Sub-Saharan Africa,1
Zimbabwe,ZWE,Sub-Saharan Africa,1
